ID	Airport	Lon	Lat	Type	X	Y
1	VGBR	0901804.45 E	224756.19N	ARP	90.30123611	22.79894167
2	VGBR	0901801.13E	224825.13N	17	90.30031389	22.80698056
3	VGBR	0901806.91 E	224734.79N	35	90.30191944	22.79299722
4	VGBR	0901752.21 E	224752.16 N	NDB	90.29783611	22.79782222
5	VGCB	0915753.31E	212659.13N	ARP	91.96480833	21.44975833
6	VGCB	0915744.92E	212740.75N	17	91.96247778	21.46131944
7	VGCB	0915758.22E	212634.78N	35	91.96617222	21.44299444
8	VGCB	0915756.82 E	212710.32 N	NDB	91.96578333	21.45286667
9	VGCM	0911122.26E	232615.74N	ARP	91.18951667	23.43770556
10	VGCM	0911124.33 E	232601.60 N	D-VOR	91.19009167	23.43377778
11	VGCM	0911124.33 E	232601.60 N	DME	91.19009167	23.43377778
12	VGCM	0911115.81 E	232610.31 N	NDB	91.187725	23.43619722
13	VGEG	0914919.95E	221525.28N	ARP	91.82220833	22.25702222
14	VGEG	09148 09.48E	22 14 27 N	5	91.80263333	22.24083333
15	VGEG	09149 26.04E	22 15 30.42 N	23	91.8239	22.25845
16	VGEG	914938.93E	221527.85N	VOR	91.82748056	22.25773611
17	VGEG	0914938.93E	221527.85N	DME	91.82748056	22.25773611
18	VGEG	915109.3E	222232.94N	Radio	91.85258333	22.37581667
19	VGHS	0902447.58E	234935.12N	DVOR	90.41321667	23.82642222
20	VGHS	0902503.67E	235034.32N	NDB	90.41768611	23.84286667
21	VGHS	0902436.49E	234940.04N	ILS/LLZ	90.41013611	23.82778889
22	VGHS	0902328.62E	235112.67N	ILS/GP	90.39128333	23.85351944
23	VGHS	0902256.66E	235145.75N	MM ILS	90.38240556	23.86270833
24	VGHS	0901937.12E	235557.71N	OM ILS14	90.32697778	23.93269722
25	VGHS	0901936.52E	235558.39N	LO	90.32681111	23.93288611
26	VGHS	0902318.62E	235118.11N	14	90.38850556	23.85503056
27	VGHS	0902425.40E	234954.00N	32	90.40705556	23.83166667
28	VGHS	0902352.02E	235036.05N	ARP	90.39778333	23.84334722
30	VGJR	0891432.46E	230830.60N	Radio	89.24235	23.14183333
32	VGJR	0890922.81E	231138.12N	16	89.15633611	23.19392222
33	VGJR	0890955.36E	231025.46N	34	89.16537778	23.17373889
34	VGJR	0890942.23E	231036.98N	NDB	89.16173056	23.17693889
35	VGJR	0890947.23E	231036.98N	VOR	89.16311944	23.17693889
36	VGRJ	0883658.56E	242619.39N	ARP	88.61626667	24.43871944
37	VGRJ	0883823.88E	242154.43N	RADIO	88.63996667	24.36511944
38	VGRJ	0883653.89E	242643.78N	17	88.61496944	24.44549444
39	VGRJ	0883705.11E	242545.16N	35	88.61808611	24.42921111
40	VGRJ	0883649.35E	242632.87N	NDB	88.61370833	24.44246389
41	VGRJ	0883654.10E	242621.18N	VOR	88.61502778	24.43921667
42	VGSD	0885430.49E	254537.35N	ARP	88.90846944	25.760375
43	VGSD	0885420.94E	254600.55N	16	88.90581667	25.76681944
44	VGSD	0885443.91E	254504.74N	34	88.91219722	25.75131667
45	VGSD	0885435.64E	254516.30N	VOR	88.9099	25.75452778
46	VGSD	0885434.83E	254552.27N	NDB	88.909675	25.76451944
